Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
Motherson-Sumi-Wiring,3.7,1986.0,,,"Noida, Uttar Pradesh",India,6041.0,"10,001+",Electrical Equipment,Job security,"Work satisfaction, Company culture",4.2,3.5,3.3,3.4,3.3,3.6,3.4
Salcomp-Manufacturing,4.0,2006.0,,,Salo,Finland,12000.0,10001-50000,Electronics Manufacturing,"Job security, Work-life balance, Skill development",Promotions,4.1,3.9,3.8,3.9,3.8,3.5,3.3
Astral-Adhesives,3.9,1987.0,"Ahmedabad, Gujarat",India,"Ahmedabad, Gujarat",India,916.0,501-1000,Chemicals,Salary,,3.6,3.7,3.6,3.7,3.6,3.9,3.4
Gannon-Dunkerley-&-Co.,3.3,,,,,,,,,,,,,,,,,
KEI-Industries,4.2,1968.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,2050.0,1001-5000,Electrical Equipment,"Salary, Job security, Work-life balance",,4.0,4.0,3.9,3.7,3.8,4.2,3.8
Defence-Research-&-Development-Organisation,4.5,1958.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,30000.0,10001-50000,Defence & Aerospace,"Work-life balance, Company culture, Skill development",,4.1,4.4,4.3,4.3,4.3,3.7,3.6
Nasser-S.-Al-Hajri-Corporation,3.6,,,,,,,,,,,,,,,,,
Episource,3.9,2006.0,,,"Gardena, California",United States (USA),1001.0,1001-5000,IT Services & Consulting,"Company culture, Job security, Skill development",,4.0,3.7,4.0,3.9,3.7,3.4,3.4
Pramerica-Life-Insurance,3.6,,,,,,,,,,,,,,,,,
Mando-Automotive,4.0,2006.0,"Kanchipuram, Tamil Nadu",India,"Kanchipuram, Tamil Nadu",India,1331.0,1001-5000,Auto Components,"Job security, Skill development, Company culture",,4.1,3.7,3.9,4.0,3.7,3.5,3.4
ICCS,3.0,2005.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,6000.0,1001-5000,BPO,"Promotions, Job security, Work satisfaction",,2.8,3.0,2.9,3.0,2.9,2.9,2.6
