Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
TCS,3.3,1968.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,607979.0,100001+,IT Services & Consulting,Job security,"Promotions, Salary, Work satisfaction",3.9,3.5,3.2,3.2,3.0,2.5,2.3
Accenture,3.7,1989.0,,,Dublin,Ireland,350000.0,100001+,IT Services & Consulting,"Promotions, Salary",,3.6,3.6,3.7,3.6,3.4,3.3,2.8
Wipro,3.6,1945.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,233346.0,100001+,IT Services & Consulting,"Promotions, Salary",,3.7,3.6,3.6,3.5,3.4,3.0,2.9
Cognizant,3.7,1994.0,,,Teaneck. New Jersey.,United States (USA),241500.0,100001+,IT Services & Consulting,"Promotions, Salary",,3.6,3.6,3.6,3.6,3.4,3.2,2.9
Capgemini,3.6,1967.0,"Mumbai, Maharashtra",India,"Paris, France ",,235000.0,100001+,IT Services & Consulting,"Job security, Work-life balance","Promotions, Salary",3.8,3.8,3.6,3.6,3.4,3.0,2.8
HDFC-Bank,3.8,1994.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,214521.0,100001+,Banking,"Job security, Skill development",Promotions,3.9,3.5,3.6,3.8,3.5,3.4,3.1
Infosys,3.5,1981.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,323578.0,100001+,IT Services & Consulting,,,3.9,3.6,3.6,3.6,3.3,2.7,2.6
HCLTech,3.4,1991.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",,223420.0,100001+,IT Services & Consulting,,,3.6,3.5,3.3,3.2,3.1,2.8,2.5
ICICI-Bank,4.0,1994.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,129177.0,100001+,Banking,"Job security, Skill development, Promotions",,4.0,3.7,3.7,3.8,3.6,3.7,3.8
Tech-Mahindra,3.4,1986.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,119343.0,100001+,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.3,3.4,3.2,3.3,3.1,2.9,2.7
Genpact,3.6,1997.0,,,"New York, New York",United States (USA),82262.0,100001+,Analytics & KPO,Job security,"Promotions, Salary",3.9,3.6,3.5,3.5,3.4,3.0,2.9
TP,3.8,1978.0,"Gurgaon / Gurugram, Haryana",India,Paris,France,90001.0,100001+,BPO,"Job security, Work-life balance",,3.8,3.8,3.7,3.7,3.7,3.7,3.5
Jio,4.4,2018.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,90067.0,100001+,Telecom,"Job security, Skill development, Company culture",,4.4,4.3,4.3,4.4,4.3,4.3,4.1
Axis-Bank,3.6,1993.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,104453.0,50001-100000,Banking,"Promotions, Work satisfaction",,3.5,3.4,3.4,3.6,3.3,3.5,3.2
Concentrix-Corporation,3.6,1983.0,"Gurgaon/Gurugram, Haryana",India,"Fremont, California",United States (USA),80000.0,50001-100000,BPO,Job security,"Promotions, Salary, Work satisfaction",3.9,3.4,3.5,3.3,3.3,3.1,2.8
Amazon,3.9,1994.0,"Hyderabad / Secunderabad, Telangana",India,"Seattle,Washington",United States,120000.0,100001+,Internet,"Company culture, Salary, Work-life balance",Promotions,3.5,3.8,4.0,3.6,3.6,3.8,3.2
Reliance-Retail,3.9,2006.0,"Ghansoli, Navi Mumbai",India,"Ghansoli, Navi Mumbai",,161665.0,100001+,Retail,,,3.9,3.8,3.7,3.9,3.6,3.6,3.2
iEnergizer,4.6,2000.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,22676.0,100001+,BPO,,,4.5,4.5,4.5,4.5,4.5,4.6,4.4
LTIMindtree,3.6,1997.0,"Mumbai, India",India,,India,73801.0,50001-100000,IT Services & Consulting,"Promotions, Salary",,3.5,3.7,3.5,3.6,3.4,3.2,2.8
IBM,3.9,1911.0,"Bangalore / Bengaluru, Karnataka",India,"Armonk,New York",United States,130000.0,100001+,IT Services & Consulting,"Work-life balance, Company culture, Job security",Promotions,3.9,4.0,3.9,3.9,3.7,3.5,3.1
HDB-Financial-Services,3.9,2007.0,"Ahmedabad, Gujrat",India,"Ahmedabad, Gujrat",India,89943.0,100001+,NBFC,"Job security, Work-life balance, Skill development",Promotions,3.8,3.8,3.7,3.8,3.6,3.4,3.3
Larsen-&-Toubro-Limited,3.9,1938.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,58556.0,50001-100000,Engineering & Construction,"Job security, Skill development, Salary",Promotions,4.0,3.4,3.6,3.9,3.6,3.8,3.3
Deloitte,3.7,1845.0,,,"Hyderabad, India",,120000.0,100001+,Management Consulting,"Promotions, Work-life balance, Work satisfaction",,3.7,3.2,3.6,3.7,3.3,3.6,3.1
Kotak-Mahindra-Bank,3.6,1985.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,61170.0,100001+,Banking,,,3.6,3.5,3.4,3.5,3.3,3.4,3.1
Reliance-Industries,4.0,1977.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,403303.0,100001+,Oil & Gas,"Job security, Work-life balance, Skill development",Promotions,4.1,3.9,3.8,3.9,3.7,3.6,3.3
Vodafone-Idea,3.9,2018.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,9787.0,10001-50000,Telecom,"Salary, Company culture, Work-life balance",Promotions,3.7,3.8,3.8,3.7,3.6,3.9,3.3
Bharti-Airtel,3.8,1952.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",,13593.0,,Telecom,Promotions,,3.6,3.6,3.6,3.7,3.5,3.7,3.2
BYJU'S,3.2,2011.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,7000.0,5001-10000,EdTech,"Job security, Work satisfaction, Work-life balance",,2.4,2.8,2.8,3.1,2.8,3.5,2.9
WNS,3.3,1996.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,44000.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.5,3.3,3.1,3.0,3.0,2.9,2.6
IDFC-FIRST-Bank,3.9,2018.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,41192.0,10001-50000,Banking,,,3.7,3.7,3.7,3.8,3.6,3.9,3.5
Ernst-&-Young,3.4,2002.0,,,London,England,44000.0,100001+,Management Consulting,"Promotions, Work satisfaction, Work-life balance",,3.6,3.0,3.1,3.5,3.0,3.2,2.9
IndusInd-Bank,3.4,1994.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,44974.0,10001-50000,Banking,,,3.4,3.4,3.1,3.2,3.2,3.3,3.0
AU-Small-Finance-Bank,3.8,1996.0,"Jaipur, Rajasthan",India,"Jaipur, Rajasthan",India,50946.0,10001-50000,Banking,Salary,,3.7,3.7,3.6,3.7,3.6,3.8,3.5
Tata-Motors,4.1,1945.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,20819.0,50001-100000,Automobile,"Job security, Company culture, Work-life balance",,4.1,4.0,4.0,4.0,3.9,3.8,3.4
Muthoot-FinCorp,4.6,1887.0,"Trivandrum/Thiruvananthapuram, Kerala",India,"Trivandrum/Thiruvananthapuram, Kerala",India,26638.0,10001-50000,NBFC,,,4.4,4.4,4.5,4.5,4.3,4.1,4.1
Bajaj-Finserv,4.0,2007.0,"Pune,Maharashtra",India,"Pune,Maharashtra",India,104668.0,10001-50000,NBFC,"Salary, Skill development, Job security",,3.8,3.6,3.6,3.9,3.7,4.0,3.6
Flipkart,3.9,2007.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,22000.0,10001-50000,Internet,"Salary, Skill development",Promotions,3.7,3.7,3.7,3.8,3.6,3.8,3.3
PwC,3.3,1880.0,"Kolkata, West Bengal",India,"London, United Kingdom",United Kingdom (UK),30000.0,100001+,Management Consulting,"Promotions, Work satisfaction, Work-life balance",,3.4,3.0,3.2,3.4,3.0,3.3,2.9
Mahindra-&-Mahindra,4.0,1945.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,200001.0,100001+,Automobile,"Job security, Skill development, Company culture",,4.0,3.8,3.8,3.9,3.8,3.7,3.4
Infosys-BPM,3.5,2002.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,12880.0,50001-100000,BPO,Job security,"Promotions, Salary, Work satisfaction",4.1,3.5,3.6,3.5,3.3,2.7,2.7
HDFC-Life,3.9,2000.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,37526.0,10001-50000,Insurance,,,3.7,3.7,3.7,3.8,3.6,3.7,3.5
DXC-Technology,3.6,2017.0,,,"Minato,Tokyo",Japan,43001.0,100001+,IT Services & Consulting,Work-life balance,"Promotions, Salary",3.6,3.8,3.5,3.6,3.4,3.0,2.6
Bandhan-Bank,3.7,2001.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,75032.0,50001-100000,Banking,Promotions,,3.7,3.6,3.5,3.4,3.4,3.5,3.2
Digitide-Solutions,3.5,2002.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,30379.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.4,3.4,3.3,3.4,3.2,3.0,2.9
Mphasis,3.3,1998.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,30157.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.4,3.5,3.2,3.2,3.1,2.7,2.4
Yes-Bank,3.7,2004.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,28690.0,10001-50000,Banking,"Promotions, Job security",,3.3,3.6,3.4,3.4,3.4,3.7,3.3
Tata-Steel,4.0,1907.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,115788.0,100001+,Iron & Steel,"Job security, Work-life balance, Company culture",Promotions,4.0,4.0,3.9,3.9,3.8,3.5,3.2
Quess,3.8,2007.0,Bangalore,India,Bangalore,India,480001.0,100001+,Recruitment,Promotions,,3.4,3.7,3.6,3.5,3.5,3.5,3.1
Asian-Paints,3.9,1942.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,11111.0,10001-50000,Chemicals,,,3.8,3.5,3.6,3.9,3.6,4.2,3.3
Maruti-Suzuki,4.1,1981.0,"New Delhi, Delhi",India,"New Delhi, Delhi",India,19966.0,10001-50000,Automobile,"Job security, Salary, Company culture",,4.3,3.9,4.0,4.0,3.9,4.2,3.8
Startek,3.1,2017.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,19800.0,10001-50000,BPO,"Promotions, Work satisfaction, Salary",,2.9,2.9,2.9,2.9,2.8,2.8,2.5
UltraTech-Cement,4.2,1983.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,27930.0,10001-50000,Building Material,"Job security, Company culture, Skill development",,4.2,3.8,4.0,4.0,3.8,3.9,3.5
Paytm,3.2,2010.0,Noida,India,Noida,India,14656.0,10001-50000,FinTech,,,2.8,3.1,3.0,3.2,3.0,3.3,2.9
Bajaj-Finance,3.9,1987.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,64092.0,10001-50000,NBFC,"Salary, Skill development, Job security",,3.8,3.5,3.5,3.9,3.6,4.0,3.6
Shriram-Finance,3.9,1979.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,79872.0,50001-100000,NBFC,"Job security, Company culture, Work-life balance",,3.9,3.8,3.8,3.7,3.7,3.5,3.4
Sutherland-Global-Services,3.4,1986.0,"Chennai, Tamil Nadu",India,,,17553.0,10001-50000,BPO,,,3.2,3.3,3.3,3.1,3.2,3.1,2.7
Equitas-Small-Finance-Bank,4.3,2016.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,28500.0,10001-50000,Banking,,,4.3,4.2,4.2,4.2,4.2,4.1,4.0
Wells-Fargo,3.6,1852.0,"Bengaluru/Bangalore, Karnataka",India,"San Francisco, California",United States (USA),20000.0,100001+,Financial Services,,,3.4,3.8,3.5,3.1,3.2,3.6,2.9
EXL-Service,3.6,1999.0,,,"New York City,New York",United States,39100.0,50001-100000,Analytics & KPO,,,3.9,3.7,3.5,3.3,3.4,3.1,2.9
Cipla,4.1,1935.0,"Mumbai, Maharashtra",India,,,30313.0,10001-50000,Pharma,"Salary, Work-life balance, Skill development",,3.7,3.9,3.8,3.9,3.7,4.0,3.5
Ericsson,3.9,1876.0,,,"Stockholm, Sweden",,22279.0,50001-100000,Telecom,,,3.7,4.0,3.9,3.7,3.7,3.4,2.9
Samsung,3.9,1969.0,,,Seoul,South Korea,52900.0,5001-10000,Consumer Electronics & Appliances,Salary,Promotions,3.6,3.7,3.6,3.7,3.6,3.8,3.2
Dr.-Reddy's,4.0,,,,,,,,,,,,,,,,,
Optum-Global-Solutions,4.0,2002.0,"Gurgaon / Gurugram, Haryana",India,"Gurgaon / Gurugram, Haryana",,33001.0,50001-100000,IT Services & Consulting,"Job security, Work-life balance, Company culture",Promotions,4.2,4.1,4.0,3.7,3.8,3.4,3.1
JSW-Steel,3.9,1982.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,15793.0,10001-50000,Iron & Steel,"Job security, Skill development",Promotions,4.1,3.6,3.6,3.8,3.6,3.6,3.2
JPMorgan-Chase-&-Co.,3.8,,,,,,,,,,,,,,,,,
Delhivery,3.8,2011.0,"Delhi,NCT",India,"Delhi,NCT",India,23536.0,10001-50000,Logistics,Promotions,,3.6,3.5,3.5,3.7,3.5,3.5,3.2
ICICI-Prudential-Life-Insurance,3.9,2000.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,19975.0,10001-50000,Insurance,"Job security, Salary, Skill development",,3.9,3.7,3.7,3.8,3.6,3.9,3.5
Hexaware-Technologies,3.4,1990.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,23921.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.3,3.4,3.3,3.4,3.2,3.0,2.8
Ujjivan-Small-Finance-Bank,4.0,2017.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,24374.0,10001-50000,Banking,"Company culture, Job security, Work-life balance",,3.9,3.9,4.0,3.9,3.7,3.8,3.5
Jana-Small-Finance-Bank,3.7,2006.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,25381.0,10001-50000,Banking,Salary,,3.5,3.6,3.5,3.6,3.5,3.8,3.4
Sun-Pharmaceutical-Industries,4.1,1983.0,Mumbai,India,Mumbai,India,19297.0,10001-50000,Pharma,,,3.9,3.8,3.8,3.9,3.8,4.0,3.6
HGS,3.7,2000.0,"Bengaluru/Bangalore, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,8381.0,10001-50000,Emerging Technologies,Promotions,,3.7,3.7,3.7,3.5,3.5,3.4,3.1
Amazon-Development-Centre-India,3.8,,,,,,,,,,,,,,,,,
Zydus-Lifesciences,4.0,1952.0,"Ahmedabad, India",India,"Ahmedabad, India",India,28000.0,10001-50000,Pharma,"Salary, Skill development",,3.7,3.7,3.7,3.8,3.7,4.0,3.5
Ekart-Logistics,3.9,2009.0,,,"San Francisco,California",United States,6531.0,1001-5000,Logistics,Skill development,Promotions,3.5,3.7,3.6,3.8,3.6,3.7,3.2
Lupin,4.1,1968.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,20949.0,10001-50000,Pharma,,,3.8,3.9,3.9,4.0,3.8,3.7,3.4
KPMG-India,3.4,1993.0,"Gurgaon / Gurugram, Haryana",India,,,27612.0,10001-50000,Management Consulting,"Promotions, Work satisfaction, Work-life balance",,3.5,3.1,3.3,3.4,3.1,3.2,2.9
L&T-Construction,4.0,,,,,,,,,,,,,,,,,
Hindustan-Unilever,4.2,1872.0,"Mumbai, Maharashtra",India,"London, England",India,18802.0,10001-50000,FMCG,"Skill development, Company culture, Job security",,4.0,4.0,4.0,4.1,3.9,3.9,3.4
Axis-Max-Life-Insurance,4.0,2000.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,24880.0,10001-50000,Insurance,"Skill development, Company culture, Job security",,3.9,3.9,3.9,4.0,3.8,3.9,3.7
ITC,3.9,1910.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,22041.0,10001-50000,FMCG,"Job security, Skill development",Promotions,4.1,3.6,3.6,3.8,3.5,3.5,3.1
Megha-Engineering-&-Infrastructures,3.9,1989.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,18000.0,10001-50000,Engineering & Construction,Work-life balance,Promotions,3.7,3.8,3.6,3.7,3.6,3.7,3.1
Coforge,3.3,1992.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,25620.0,10001-50000,IT Services & Consulting,,,3.2,3.4,3.2,3.1,3.1,3.1,2.6
Tata-Projects,4.2,1979.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,6372.0,1001-5000,Engineering & Construction,,,4.0,4.0,4.0,3.9,3.9,4.1,3.5
Bajaj-Life-Insurance,3.8,,,,,,,,,,,,,,,,,
Cholamandalam-Investment-&-Finance,3.8,1978.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,46678.0,10001-50000,Financial Services,Salary,,3.7,3.5,3.6,3.6,3.5,3.8,3.5
L&T-Technology-Services,3.1,,,,,,,,,,,,,,,,,
FIS,3.8,1968.0,,,"Jacksonville,Florida",United States,15000.0,50001-100000,FinTech,,,3.4,4.0,3.7,3.4,3.5,3.5,3.0
Oracle,3.4,1977.0,"Bangalore / Bengaluru, Karnataka",India,"Austin,Texas",United States,57858.0,100001+,Software Product,Work-life balance,"Promotions, Salary, Work satisfaction",3.3,3.8,3.4,3.2,3.2,3.0,2.4
Omega-Healthcare,3.8,2003.0,"Bangalore / Bengaluru, Karnataka",India,"Boca Raton, Florida",,26750.0,10001-50000,BPO,Promotions,,3.7,3.6,3.6,3.6,3.5,3.4,3.1
JLL,4.1,1999.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,15001.0,50001-100000,Real Estate,"Job security, Company culture, Work-life balance",,4.1,4.0,4.0,4.0,3.8,3.8,3.4
Muthoot-Finance,3.7,1939.0,"Kochi/Cochin, Kerala",India,"Kochi/Cochin, Kerala",India,29221.0,10001-50000,NBFC,,,3.7,3.5,3.5,3.6,3.4,3.5,3.3
IIFL-Finance,4.0,1995.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,14782.0,10001-50000,NBFC,"Work-life balance, Company culture, Job security",,3.8,3.9,3.8,3.8,3.7,3.8,3.6
eClerx,3.1,2000.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,12221.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.4,3.0,2.9,3.1,2.8,2.6,2.4
Indian-Army,4.7,1895.0,"New Delhi, Delhi",India,"New Delhi, Delhi",India,1248000.0,100001+,Defence & Aerospace,"Job security, Company culture, Salary",,4.7,4.6,4.6,4.6,4.6,4.6,4.4
Virtusa-Consulting-Services,3.7,1996.0,,,"Southborough, Massachusetts",United States (USA),18787.0,10001-50000,IT Services & Consulting,Promotions,,3.4,3.7,3.5,3.6,3.4,3.4,3.0
DMart,3.9,2002.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,16959.0,10001-50000,Retail,"Job security, Company culture",,4.2,3.7,3.9,3.7,3.6,3.6,3.4
HCL-Group,3.5,1991.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",,223420.0,100001+,IT Services & Consulting,,,3.6,3.5,3.3,3.2,3.1,2.8,2.5
PolicyBazaar,3.8,2008.0,"Gurgaon,Haryana",India,"Gurgaon,Haryana",India,14001.0,1001-5000,Internet,,,3.6,3.4,3.5,3.7,3.5,4.0,3.5
HSBC-Group,3.8,1865.0,"Pune, Maharashtra",India,"London, England",United Kingdom,38000.0,100001+,Financial Services,"Job security, Work-life balance, Company culture",Promotions,3.9,3.9,3.8,3.6,3.5,3.4,3.1
Piramal-Finance,4.2,,,,,,15789.0,,NBFC,"Company culture, Work-life balance, Skill development",,3.9,4.1,4.2,4.1,3.9,4.0,3.7
Indiamart-Intermesh,3.5,1996.0,"Noida,Uttar Pradesh",India,"Noida,Uttar Pradesh",India,6102.0,5001-10000,Internet,"Work satisfaction, Promotions, Company culture",,3.4,3.3,3.2,3.4,3.2,3.6,3.2
SMFG-India-Credit,3.9,2007.0,Mumbai,India,Mumbai,India,24932.0,10001-50000,NBFC,Salary,Promotions,3.7,3.7,3.6,3.6,3.6,4.0,3.3
Access-Healthcare,3.7,2011.0,"Chennai, Tamil Nadu",India,"Dallas, Texas",,6001.0,10001-50000,BPO,Job security,Promotions,3.8,3.6,3.6,3.5,3.5,3.7,3.1
BigBasket,3.8,2011.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,18821.0,10001-50000,Internet,,,3.9,3.7,3.7,3.7,3.6,3.6,3.3
Siemens,3.9,1867.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,9848.0,10001-50000,Industrial Automation,,,4.0,4.0,3.9,3.8,3.6,3.5,3.1
Aurobindo-Pharma,4.0,1986.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,27707.0,10001-50000,Pharma,"Job security, Salary, Work-life balance",,4.3,3.8,3.6,3.6,3.6,3.9,3.4
ICICI-Lombard-General-Insurance-Company,3.5,,,,,,,,,,,,,,,,,
GlobalLogic,3.5,2000.0,,,"San Jose, California",United States (USA),15001.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.5,3.7,3.6,3.3,3.3,3.0,2.6
Manappuram-Finance,3.9,1949.0,"Thrissur/Trichur, Kerala",India,"Thrissur/Trichur, Kerala",India,24650.0,10001-50000,NBFC,"Work-life balance, Skill development, Promotions",,3.6,3.8,3.7,3.8,3.7,3.7,3.8
Firstsource-Solutions,3.5,2001.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,20706.0,100001+,BPO,"Promotions, Salary, Work satisfaction",,3.5,3.5,3.4,3.3,3.3,3.2,3.0
Tata-Capital,4.0,2007.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,12384.0,10001-50000,NBFC,"Job security, Company culture, Salary",,3.9,3.8,3.8,3.8,3.7,3.8,3.4
Udaan,3.9,2016.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,4500.0,5001-10000,Internet,"Salary, Skill development",Job security,3.0,3.7,3.7,3.8,3.7,3.9,3.4
UST,3.7,1999.0,,,"Aliso Viejo, California",United States (USA),14037.0,100001+,IT Services & Consulting,Work-life balance,Promotions,3.4,3.8,3.7,3.5,3.5,3.4,3.0
Shapoorji-Pallonji-Group,4.1,,,,,,,,,,,,,,,,,
Standard-Chartered,3.6,1853.0,,,"London, England",United Kingdom (UK),27000.0,50001-100000,Banking,"Promotions, Work satisfaction, Salary",,3.5,3.6,3.5,3.4,3.3,3.3,2.8
Apollo-Hospitals,4.0,1983.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",United States,18589.0,10001-50000,Healthcare,"Job security, Skill development, Company culture",,4.0,3.8,3.9,4.0,3.8,3.7,3.4
Bosch-Global-Software-Technologies,3.7,1997.0,"Bengaluru/Bangalore, Karnataka",India,Gerlingen,Germany,26413.0,10001-50000,IT Services & Consulting,"Work-life balance, Company culture, Job security","Promotions, Salary",3.8,4.0,3.8,3.4,3.4,3.1,2.8
Mahindra-Finance,3.9,1991.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,25261.0,10001-50000,NBFC,Work-life balance,Promotions,3.6,3.8,3.7,3.7,3.6,3.7,3.3
Swiggy,3.7,2014.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,4488.0,5001-10000,Internet,"Promotions, Job security",,3.2,3.5,3.5,3.5,3.4,3.7,3.2
Ashok-Leyland,4.0,1948.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,9695.0,10001-50000,Automobile,"Work-life balance, Skill development, Company culture",Promotions,3.8,3.9,3.8,3.9,3.8,3.7,3.3
Citicorp,3.6,1997.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,32000.0,100001+,Financial Services,Salary,"Promotions, Work satisfaction, Skill development",3.4,3.5,3.4,3.3,3.3,3.9,3.0
Hero-MotoCorp,4.1,1984.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,9527.0,5001-10000,Automobile,"Work-life balance, Company culture, Job security",,3.8,4.0,3.9,3.8,3.8,3.8,3.4
CGI-Group,4.0,1976.0,"Bangalore / Bengaluru, Karnataka",India,"Montreal, Quebec",Canada,19042.0,50001-100000,IT Services & Consulting,"Job security, Work-life balance, Company culture","Promotions, Salary",4.1,4.1,4.0,3.7,3.7,3.3,3.2
Cyient,3.6,1991.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,11884.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Skill development",,3.6,3.7,3.5,3.3,3.4,3.1,2.9
BNY,3.6,1784.0,,,"New York City, New York",United States (USA),17754.0,10001-50000,Financial Services,"Promotions, Job security",,3.0,3.7,3.6,3.5,3.4,3.6,2.8
SBI-Cards-&-Payment-Services,3.6,1998.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,4098.0,1001-5000,Financial Services,"Promotions, Work satisfaction",,3.4,3.4,3.4,3.5,3.3,3.4,3.0
NTT-DATA,3.8,1988.0,,,"Chiyoda-ku, Tokyo",,35500.0,100001+,IT Services & Consulting,,,3.7,3.9,3.7,3.6,3.6,3.5,3.1
Kalpataru-Projects-International,4.2,1981.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,8428.0,5001-10000,Engineering & Construction,"Job security, Salary, Skill development",,4.1,3.9,3.9,4.0,3.8,4.0,3.7
IQVIA,3.7,1982.0,"Bangalore / Bengaluru, Karnataka",India,"Durham, North Carolina",,22001.0,50001-100000,Clinical Research,,,3.7,3.8,3.7,3.5,3.4,3.2,2.8
Nagarjuna-Construction-Company,4.0,1998.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,7366.0,5001-10000,Engineering & Construction,"Job security, Company culture, Salary",,4.0,3.8,3.8,3.8,3.7,3.8,3.4
JustDial,3.5,1996.0,"Mumbai,Maharashtra",India,"Mumbai,Maharashtra",India,13002.0,10001-50000,Internet,"Promotions, Work satisfaction, Job security",,3.1,3.4,3.2,3.3,3.1,3.3,2.9
Schneider-Electric,4.1,1999.0,,,Paris,France,37001.0,100001+,Industrial Automation,"Company culture, Job security, Work-life balance",Promotions,4.0,4.0,4.0,3.9,3.8,3.7,3.3
CBRE,4.1,1906.0,,,"Dallas, TX ",,13000.0,100001+,Real Estate,"Company culture, Job security, Work-life balance",,4.0,4.0,4.0,4.0,3.9,3.9,3.5
SBI-Life-Insurance-Company,3.7,2001.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,25672.0,10001-50000,Insurance,Job security,Promotions,3.9,3.4,3.5,3.6,3.4,3.5,3.3
